ID,Content,ASIL,Rationale,Covers,State
SYS1_001,The vehicle shall provide automated lane centering assistance on highway-type roads so that the driver is not required to provide continuous steering correction under normal driving conditions.,ASIL D,OEM product requirement to reduce driver workload and fatigue on highway drives.,,Draft
SYS1_002,"The driver shall be able to override or disengage the lane keeping assistance at any time by applying steering torque, consistent with regulatory requirements for driver authority over automated steering systems (e.g., UN R79).",ASIL D,Regulatory requirement preserving driver authority over automated steering.,,Draft
SYS1_003,"Any malfunction of the lane keeping assistance function shall result in a safe, predictable vehicle state with no unintended or hazardous steering torque applied to the vehicle.",ASIL D,Functional safety goal (ISO 26262) to avoid unintended actuation hazard.,,Draft
SYS1_004,"The driver shall be provided with clear and timely visual and/or audible indication of the current lane keeping assistance status (off, standby, active, driver override, or fault).",ASIL B,HMI / customer requirement for situational awareness.,,Draft
SYS1_005,The lane keeping assistance function shall only be available within a defined vehicle speed range appropriate for its intended highway driving use case.,ASIL B,Product scope and safety requirement avoiding activation outside validated operating conditions.,,Draft
SYS1_006,The system shall record diagnostic information for all detected malfunctions to support field diagnosis and maintenance by authorized service personnel.,QM,Serviceability and warranty stakeholder requirement.,,Draft
SYS1_007,The lane keeping assistance function shall disengage automatically when the driver indicates an intentional lane change maneuver.,ASIL B,Customer/usability requirement to avoid fighting an intentional driver maneuver.,,Draft
SYS1_008,"The system shall detect loss, corruption, or implausible values of any safety-relevant input signal and transition to a safe state within a bounded reaction time.",ASIL D,Functional safety requirement for bounded fault reaction per ISO 26262.,,Draft
SYS1_009,"The lane keeping assistance function shall maintain stable, non-oscillatory steering behavior under degraded lane-marking visibility conditions (e.g., rain, fading markings, glare).",ASIL B,OEM robustness/product-quality requirement across real-world driving conditions.,,Draft
SYS1_010,"The steering torque control function of the lane keeping assistance system shall be developed, verified, and validated to ASIL D in accordance with ISO 26262, given its potential to directly influence vehicle lateral control.",ASIL D,Functional safety classification requirement (ISO 26262 Part 3 HARA outcome).,,Draft
